"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","oxytetracycline","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","chlortetracycline","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","danofloxacin","","==1","=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","tilmicosin","","==32","=","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","tylosin","","==1","=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","penicillin","","==0.25","=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","neomycin","","==16","=","16","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","ceftiofur","","==2","=","2","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","florfenicol","","==2","=","2","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","trimethoprim/sulfamethoxazole","","<=2/38","<=","2/38","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","tiamulin","","==8","=","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","tulathromycin","","==32","=","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","enrofloxacin","","==2","=","2","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","sulfadimethoxine","",">256",">","256","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","ampicillin","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","gentamicin","","==2","=","2","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","clindamycin","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
51665,"51665.3","Aerococcus urinaeequi strain USDA-ARS-USMARC-56713","spectinomycin","","==16","=","16","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
