"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
575,"575.163","Raoultella planticola 1D-172","meropenem","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","cephalothin","","4","","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","cefuroxime","","<=4","<=","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","amikacin","","<=8","<=","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","tigecycline","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","cefazolin","","<=4","<=","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","ampicillin/sulbactam","","<=4/2","<=","4/2","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","tetracycline","","1","","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","colistin","","0.5","","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","ampicillin","",">32",">","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","tobramycin","","<=4","<=","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","aztreonam","","<=4","<=","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","cefoxitin","","<=4","<=","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","piperacillin/tazobactam","","<=16/4","<=","16/4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","trimethoprim/sulfamethoxazole","","<=0.5/9.5","<=","0.5/9.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","ceftazidime","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","ticarcillin/clavulanic acid","","<=16/2","<=","16/2","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","cefpodoxime","","<=2","<=","2","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","ceftriaxone","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","cefepime","","<=4","<=","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","ertapenem","","<=2","<=","2","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","gentamicin","","<=2","<=","2","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
575,"575.163","Raoultella planticola 1D-172","ciprofloxacin","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
